sample_name_dbs,haplotype_number,haplotype_reads,haplotype_list
M16 H00015,15,21888,"H1,H3,H4,H5,H11,H21,H26,H37,H71,H75,H143,H243,H274,H281,H311"
M14 A00018,12,19320,"H3,H4,H6,H8,H18,H21,H23,H29,H37,H41,H67,H79"
K14 A00005,4,1761,"H2,H3,H6,H15"
M09 A00057,14,11979,"H3,H4,H7,H10,H12,H23,H44,H75,H77,H129,H181,H278,H292,H341"
M07 A00008,7,5136,"H1,H3,H4,H8,H15,H21,H355"
K14 A00044,11,6127,"H3,H4,H5,H6,H21,H23,H29,H34,H37,H49,H75"
K03 H00022,4,2125,"H3,H11,H20,H23"
S04 H00033,7,2309,"H3,H4,H5,H8,H15,H57,H235"
M01 A00007,2,3182,"H103,H374"
K01 A00010,11,10576,"H1,H3,H4,H7,H8,H15,H22,H23,H29,H34,H37"
M05 H00025,16,27731,"H1,H3,H4,H6,H7,H11,H18,H21,H23,H26,H29,H34,H37,H129,H209,H224"
M14 A00009,2,5729,"H10,H342"
S11 A00002,9,3665,"H3,H4,H5,H6,H13,H16,H18,H25,H49"
M09 A00055,9,9164,"H3,H4,H8,H29,H39,H59,H150,H226,H376"
M07 A00010,12,9343,"H1,H3,H4,H8,H22,H34,H37,H51,H57,H349,H419,H440"
K14 H00046,2,526,"H9,H18"
M15 H00094,10,5744,"H2,H3,H5,H6,H9,H13,H35,H41,H97,H427"
M15 H00019,6,2259,"H4,H12,H16,H24,H44,H96"
M12 H00010,2,688,"H3,H13"
M04 H00022,2,1559,"H16,H314"
M06 A00015,3,824,"H15,H97,H441"
M14 H00026,11,13189,"H1,H3,H4,H7,H8,H15,H21,H22,H23,H29,H37"
M14 H00009,4,8860,"H3,H10,H22,H178"
S04 A00004,7,2964,"H2,H3,H4,H6,H12,H13,H16"
M06 H00034,1,1673,H186
M07 H00015,3,5340,"H3,H22,H348"
M15 A00086,4,2154,"H3,H10,H16,H29"
S06 H00022,2,555,"H6,H18"
M15 A00037,6,2238,"H2,H4,H6,H19,H21,H72"
M13 H00030,2,793,"H3,H5"
M04 A00022,1,1645,H33
M06 H00015,3,7270,"H11,H15,H182"
K01 H00001,14,32803,"H4,H6,H7,H8,H9,H21,H28,H29,H37,H41,H64,H67,H71,H233"
M14 A00022,4,6672,"H4,H8,H152,H431"
K14 H00034,15,11390,"H3,H4,H5,H6,H7,H11,H12,H13,H15,H16,H21,H23,H24,H25,H41"
M13 A00004,15,9959,"H2,H3,H4,H5,H11,H12,H13,H15,H16,H25,H31,H32,H41,H44,H65"
M06 A00034,7,9558,"H3,H6,H21,H22,H184,H294,H334"
K07 A00049,1,269,H16
M15 A00039,2,1203,"H2,H24"
M13 A00030,6,1912,"H6,H21,H29,H86,H451,H452"
M04 H00013,3,8531,"H3,H8,H11"
M01 A00012,6,17090,"H7,H12,H13,H15,H23,H36"
K01 H00012,3,15219,"H4,H10,H22"
M14 H00001,15,11952,"H1,H3,H4,H7,H8,H21,H23,H31,H35,H37,H39,H367,H368,H369,H403"
K14 A00003,12,15703,"H2,H3,H4,H5,H6,H7,H11,H12,H13,H16,H25,H33"
M13 A00003,15,6776,"H2,H3,H4,H5,H6,H11,H12,H13,H16,H19,H23,H24,H25,H31,H33"
M06 A00037,13,12730,"H3,H4,H7,H8,H23,H34,H37,H41,H67,H71,H77,H79,H254"
M06 H00040,8,9684,"H3,H10,H21,H25,H31,H100,H325,H354"
M16 A00028,2,2060,"H3,H15"
S04 H00035,2,742,"H5,H134"
M15 H00036,9,3624,"H2,H3,H4,H7,H12,H13,H19,H32,H45"
M13 A00017,10,5394,"H2,H3,H4,H5,H6,H11,H13,H24,H25,H38"
M01 H00007,2,6528,"H3,H25"
K01 A00006,12,13302,"H1,H3,H4,H7,H8,H12,H21,H22,H23,H29,H37,H57"
M14 A00003,7,9236,"H3,H4,H34,H37,H47,H280,H343"
K14 H00003,13,7166,"H2,H3,H4,H6,H7,H13,H18,H20,H29,H30,H425,H429,H450"
M13 H00003,4,1770,"H2,H3,H4,H10"
M07 A00011,1,6335,H93
M06 A00039,2,4120,"H1,H4"
M16 H00028,6,7091,"H2,H3,H13,H16,H49,H110"
S04 A00033,1,857,H20
M15 A00036,10,4604,"H1,H2,H3,H5,H6,H8,H25,H34,H38,H88"
M13 A00028,4,1336,"H2,H7,H37,H435"
M01 A00035,10,13899,"H4,H7,H23,H25,H37,H38,H40,H57,H74,H313"
M06 A00016,5,7487,"H4,H33,H40,H339,H359"
K01 A00012,4,6938,"H8,H19,H22,H163"
M14 A00006,13,8478,"H1,H3,H4,H7,H11,H21,H26,H37,H41,H401,H404,H428,H430"
K14 H00006,9,3949,"H3,H4,H5,H12,H13,H16,H18,H24,H41"
M07 A00007,11,10420,"H3,H6,H7,H8,H12,H21,H29,H37,H41,H85,H92"
