HH_ID,repeat_instance,collection_date,village,total_num_mosq_in_hh,abdominal_status,species_type,collection_week,collection_month_year_combo,sample_id_mosquito,sample_id_head,HbtubCT1_h,HbtubCT2_h,pfr364CT1_h,pfr364CT2_h,pfr364Q1_h,pfr364Q2_h,pf_pcr_infection_status_sample_level_h,pfr364Q_combined_h,hb_status_sample_level_h,sample_id_abdomen,HbtubCT1_a,HbtubCT2_a,pfr364CT1_a,pfr364CT2_a,pfr364Q1_a,pfr364Q2_a,pf_pcr_infection_status_sample_level_a,pfr364Q_combined_a,hb_status_sample_level_a,pf_infection_status_mosquito_level,hb_status_mosquito_level
K01,1,2017-06-19,Kinesamo,9,Blood Fed,Un-identified,25,6-2017,K01 00001,K01 H00001,NA,NA,27.783,27.827,5.27e-4,5.15e-4,positive,5.21e-4,negative,K01 A00001,NA,NA,NA,NA,NA,NA,negative,NA,negative,positive,negative
K01,1,2017-06-19,Kinesamo,9,Gravid,Un-identified,25,6-2017,K01 00002,K01 H00002,NA,NA,NA,NA,NA,NA,negative,NA,negative,K01 A00002,NA,NA,NA,NA,NA,NA,negative,NA,negative,negative,negative
K01,1,2017-06-19,Kinesamo,9,Gravid,Un-identified,25,6-2017,K01 00003,K01 H00003,NA,NA,NA,NA,NA,NA,negative,NA,negative,K01 A00003,NA,NA,NA,NA,NA,NA,negative,NA,negative,negative,negative
K01,1,2017-06-19,Kinesamo,9,Blood Fed,Un-identified,25,6-2017,K01 00004,K01 H00004,NA,NA,NA,NA,NA,NA,negative,NA,negative,K01 A00004,NA,35.903,NA,NA,NA,NA,negative,NA,positive,negative,positive
K01,1,2017-06-19,Kinesamo,9,Blood Fed,Un-identified,25,6-2017,K01 00005,K01 H00005,NA,37.084,NA,NA,NA,NA,negative,NA,positive,K01 A00005,32.295,31.508,NA,NA,NA,NA,negative,NA,positive,negative,positive
K01,1,2017-06-19,Kinesamo,9,Blood Fed,Un-identified,25,6-2017,K01 00006,K01 H00006,NA,NA,NA,NA,NA,NA,negative,NA,negative,K01 A00006,35.764,35.814,35.858,35.615,6e-6,7e-6,positive,6.5000000000000004e-6,positive,positive,positive
K01,1,2017-06-19,Kinesamo,9,Blood Fed,Un-identified,25,6-2017,K01 00007,K01 H00007,NA,NA,NA,NA,NA,NA,negative,NA,negative,K01 A00007,35.612,35.713,36.898,35.791,4e-6,7e-6,positive,5.5e-6,positive,positive,positive
K01,1,2017-06-19,Kinesamo,9,Blood Fed,Un-identified,25,6-2017,K01 00008,K01 H00008,35.978,NA,NA,NA,NA,NA,negative,NA,positive,K01 A00008,31.488,31.667,NA,NA,NA,NA,negative,NA,positive,negative,positive
K01,1,2017-06-19,Kinesamo,9,Unfed,Un-identified,25,6-2017,K01 00009,K01 H00009,NA,NA,NA,NA,NA,NA,negative,NA,negative,K01 A00009,NA,NA,NA,NA,NA,NA,negative,NA,negative,negative,negative
K14,1,2017-06-19,Kinesamo,1,Blood Fed,Un-identified,25,6-2017,K14 00001,K14 H00001,34.02,34.628,NA,NA,NA,NA,negative,NA,positive,K14 A00001,39.274,NA,NA,NA,NA,NA,negative,NA,positive,negative,positive
